stemming_data,sentiment
ronaldo lapor rawat pneumonia,1
bayi asi rentan pneumonia,0
hoaks kurma timur kandung virus corona kelelawar,0
hobi rokok latih juventus risiko pneumonia kali,0
polusi udara cilincing perhati pneumonia akut,0
lari virtual media donasi anak derita pneumonia,0
van der sar diharapharapkan fans mu teken kontrak ajax,0
cegah virus pneumonia china masyarakat imbau pakai lindung,0
wabah pneumonia misterius china imbau menkes awan,0
kenal pneumonia bahaya sakit,0
operasi sar cari korban perahu motor balik nihil,0
diri merc joserizal jurnalis pulang,0
ancam virus sepak bola putri praolimpiade wuhan,0
virus pneumonia misterius china wabah kad pariwisata kepri aman,0
dokter paru saran cegah sebar pneumonia wuhan,0
antisipasi wabah pneumonia awas bandara ketat,0
sentimen wabah virus corona tekan gerak rupiah,0
pneumonia wuhan dokter paru masyarakat waspada tular,0
libur korea jepang waspada virus corona,0
travelling cina hindar virus corona,0
korban virus corona akses transportasi wuhan tutup,-1
situasi wisma bri pasca heboh isu virus corona,0
virus corona batal kualifikasi tinju olimpiade,0
waspada virus corona bandara husein pindai suhu tubuh tumpang,0
huawei bagi masker karyawan duga kena corona,0
heboh virus corona wuhan pasar jual koala tikus makan,0
cegah masuk virus corona china labuh ri ketat awas,0
virus corona rebak airasia henti terbang wuhan,0
latih tinju ambil hikmah batal kualifikasi olimpiade wuhan,0
heboh virus corona wisma bri radang tenggorok,0
virus corona khawatir luas harga minyak mentah jeblok,0
radang tenggorok sangka virus corona gejala,0
pm singapura lee hsien loong hadap virus corona,0
pantau sebar virus corona peta online,0
virus corona paksa huawei tunda konferensi developer,0
wni tahan wuhan,0
heboh virus corona film contagion,0
pasien suspect virus corona jakarta isolasi,-1
garuda indonesia siaga cegah virus corona masuk indonesia,0
virus corona misterius juta warga wuhan hubei isolasi,-1
sedih raya imlek china batal akibat wabah corona,0
virus corona sebar droplet cuci tangan,0
bank cina pinjam rp triliun atas virus corona,0
xiaomi kirim juta masker wilayah dampak virus corona,0
geger virus corona lion air alih rute terbang bal wuhan,0
kelelawar wabah sars mers virus corona wuhan,0
wuhan motor city lumpuh virus corona,0
xi jinping cina hadap ancam serius virus corona,0
rebak virus corona wuhan kota sunyi,-1
data virus corona orang tinggal tular,-1
lion air pasti tumpang hun bebas virus corona,1
update negara konfirmasi infeksi virus corona,-1
china landa wabah corona nasib zohri juara asia,-1
sampit rawan virus corona kapal masuk china,0
cek update sebar virus corona link peta online,0
who virus corona capai negara,-1
sebar negara mati virus corona,0
pasien duga infeksi virus corona jambi masuk indonesia januari,0
ketat periksa abk masuk sampit cegah virus corona,0
tingkat status darurat virus corona hongkong imbau kemlu,-1
khawatir virus corona mahasiswa indonesia wuhan evakuasi,0
wabah virus corona taiwan ketat batas unjung china,0
kurs rupiah prediksi lemah akibat virus corona,0
wabah virus corona juara atletik asia cina batal,0
kondisi kini mahasiswa wuhan kondisi tahan asrama,0
wisatawan hongkong raja ampat duga infeksi corona,-1
virus corona wabah zaman nabi cerita,0
kait virus corona menhub presiden disiplin laku periksa wna china,0
pakar sehat virus corona bahaya banding mers sars,0
mahasiswa indonesia wuhan harap evakuasi,0
kru lion air wuhan periksa otoritas bandara antisipasi virus corona,0
menhub perintah ketat periksa bandara kait virus corona,0
pakar sehat tips cegah virus corona traveling negeri,0
berita lengkap rshs isolasi pasien duga papar virus corona,-1
temu tumpang infeksi corona bandara soekarnohatta,0
virus corona sebar menteri sehat china ingat,-1
rumah sakit jateng siap ruang isolasi tangan sebar virus corona,0
virus corona rebak dagang kelelawar pasar burung depok solo khawatir jual,0
pemprov kepri awas ketat labuh bandara antisipasi corona,0
wabah virus corona dpr perintah lindung mahasiswa aceh wuhan,0
perintah fokus cegah sebar virus corona labu bajo,0
perintah desak who tetap sebar virus corona darurat global,0
dprd jabar prihatin pasien duga virus corona rshs bandung,0
virus corona luas harga minyak mentah kian jeblok,0
kerja bongkar muat labuh sampit waspada virus corona,0
startup ai prediksi sebar virus corona,0
makan tingkat sistem imun tubuh cegah virus corona,0
jokowi indikasi sebar virus corona indonesia,0
tangan pasien suspect corona siap kotawaringin timur,0
virus corona bupati konawe utara mahasiswa dokter wuhan pulang,0
mendag eksporimpor dampak virus corona,0
ekonomi china tumbang akibat virus corona,0
gawat virus corona ancam ekonomi global,0
